# HARPS 2012 data for CoRoT-7, processed in the same way as the 2008-2009
# data (Queloz et al. 2009). From left to right are given: Julian date,
# RV, the estimated error eRV on the RV, the FWHM and the line bisector
# of (BIS) of the cross-correlation function (as defined in Queloz et al.
# 2001), the Ca ii activity indicator log(RHK) and its error elog(RHK)
# -----------------------------------------------------------------------
# Julian date	RV	eRV	FWHM	BIS	log(RHK)	elog(RHK)
# (d) BJD_UTC	(km s1)	(km s1)	(km s1)	(km s1)		
2455939.69948	31.18031	0.00233	6.45633	0.01199	4.6990	0.0180
2455939.76024	31.17814	0.00212	6.46445	0.01966	4.7188	0.0173
2455940.57499	31.18283	0.00251	6.46592	0.01956	4.6982	0.0210
2455940.68929	31.17833	0.00271	6.45650	0.03679	4.7789	0.0283
2455940.79456	31.18415	0.00215	6.46568	0.01359	4.7204	0.0180
2455941.56490	31.18294	0.00241	6.45065	0.01822	4.7635	0.0245
2455941.66870	31.18832	0.00184	6.45273	0.02814	4.7365	0.0137
2455941.77024	31.18890	0.00199	6.45558	0.02559	4.7510	0.0169
2455942.56139	31.17631	0.00263	6.45472	0.01846	4.6730	0.0191
2455942.67696	31.17626	0.00167	6.45427	0.02055	4.7071	0.0095
2455942.78412	31.17705	0.00247	6.45564	0.03818	4.7222	0.0221
2455943.56090	31.17020	0.00239	6.44767	0.02167	4.7187	0.0215
2455943.66570	31.16834	0.00199	6.44649	0.02202	4.7482	0.0163
2455943.76867	31.17497	0.00177	6.45494	0.02110	4.7508	0.0152
2455944.56671	31.17690	0.00213	6.44517	0.02596	4.7237	0.0180
2455944.66911	31.17499	0.00216	6.44351	0.02340	4.7166	0.0167
2455944.77370	31.17966	0.00185	6.44134	0.02035	4.7206	0.0150
2455945.56098	31.18232	0.00238	6.45457	0.01149	4.7319	0.0221
2455945.66736	31.18053	0.00213	6.45674	0.01439	4.7275	0.0178
2455945.77208	31.17698	0.00221	6.44160	0.02874	4.7497	0.0213
2455946.55742	31.17466	0.00222	6.44724	0.00971	4.7694	0.0214
2455946.66311	31.17309	0.00176	6.45013	0.01661	4.7358	0.0131
2455946.76840	31.17567	0.00209	6.45653	0.01566	4.7467	0.0181
2455947.54531	31.17707	0.00223	6.45981	0.02810	4.7581	0.0210
2455947.66174	31.18084	0.00179	6.45909	0.01563	4.7334	0.0133
2455947.76281	31.18561	0.00191	6.46437	0.02390	4.7700	0.0185
2455948.55706	31.18901	0.00217	6.46402	0.01550	4.7355	0.0188
2455948.66364	31.19692	0.00163	6.46248	0.02318	4.7389	0.0114
2455948.76718	31.19676	0.00175	6.46623	0.02778	4.7548	0.0157
2455949.55411	31.18631	0.00247	6.46951	0.02427	4.8253	0.0283
2455949.65555	31.19076	0.00187	6.46200	0.02620	4.7545	0.0149
2455949.75824	31.19305	0.00245	6.46655	0.03246	4.7434	0.0243
