#   VizieR Astronomical Server vizier.u-strasbg.f2
#    Date: 2021-03-23T18:04:38 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ605a2d6010c0 
#INFO -out.max=1000 
#INFO queryParameters=14 
#-oc.form=sexa
#-out.max=1000
#-nav=cat:J/A+A/506/303&tab:{J/A+A/506/303/tablea1}&key:source=J/A+A/506/303&HTTPPRM:&
#-source=J/A+A/506/303/tablea1
#-order=I
#-out=JDB
#-out=RV
#-out=e_RV
#-out=FWHM
#-out=e_FWHM
#-out=Span
#-out=e_Span
#-out=log(R'(HK))
#-out=e_log(R'(HK))
#
#
#RESOURCE=yCat_35060303
#Name: J/A+A/506/303
#Title: CoRoT-7 radial velocities (Queloz+, 2009)
#Table J_A_A_506_303_tablea1:
#Name: J/A+A/506/303/tablea1
#Title: HARPS data
#---Details of Columns:
#    JDB (d)             (F14.6) Julian date [ucd=time.epoch]
#    RV (km/s)           (F7.4)  Radial velocity [ucd=phys.veloc;pos.heliocentric]
#    e_RV (km/s)         (F7.4)  rms uncertainty on RV [ucd=stat.error]
#    FWHM (km/s)         (F7.4)  Width (FWHM) [ucd=spect.line.width]
#    e_FWHM (km/s)       (F7.4)  rms uncertainty on FWHM [ucd=stat.error;phys.angSize]
#    Span (km/s)         (F7.4)  Bisector span velocity [ucd=phys.veloc]
#    e_Span (km/s)       (F7.4)  rms uncertainty on Span [ucd=stat.error]
#    log(R'(HK)) ([-])   (F7.4)  ? Activity index [ucd=phot.flux;arith.ratio]
#    e_log(R'(HK)) ([-]) (F7.4)  ? rms uncertainty on log(R'(HK)) [ucd=stat.error]
#-------------- ------- ------- ------- ------- ------- ------- ------- -------
#                                                               log     e_log  
#               RV      e_RV    FWHM    e_FWHM  Span    e_Span  (R'(HK) (R'(HK)
#JDB (d)        (km/s)  (km/s)  (km/s)  (km/s)  (km/s)  (km/s)  ) ([-]) ) ([-])
#-------------- ------- ------- ------- ------- ------- ------- ------- -------
2454527.543878 31.1818  0.0015  6.4648  0.0035  0.0258  0.0030 -4.6646  0.0059
2454530.604318 31.1732  0.0015  6.4666  0.0035  0.0309  0.0030 -4.6736  0.0063
2454550.503296 31.1972  0.0021  6.4621  0.0049  0.0191  0.0042 -4.6269  0.0116
2454775.819119 31.1881  0.0022  6.5028  0.0052  0.0340  0.0044 -4.5847  0.0103
2454776.758450 31.1848  0.0028  6.4981  0.0066  0.0317  0.0056 -4.5702  0.0151
2454777.761675 31.1817  0.0020  6.4993  0.0047  0.0400  0.0040 -4.6251  0.0102
2454778.754586 31.1734  0.0016  6.4875  0.0038  0.0241  0.0032 -4.5877  0.0071
2454779.750679 31.1750  0.0022  6.4969  0.0052  0.0252  0.0044 -4.6391  0.0117
2454780.754792 31.1805  0.0026  6.4915  0.0061  0.0278  0.0052 -4.5494  0.0128
2454789.829872 31.1878  0.0016  6.5050  0.0038  0.0235  0.0032 -4.6037  0.0068
2454790.802989 31.1914  0.0021  6.5096  0.0049  0.0148  0.0042 -4.6447  0.0117
2454791.810991 31.1990  0.0019  6.5131  0.0045  0.0214  0.0038 -4.5960  0.0087
2454792.809988 31.1933  0.0018  6.5316  0.0042  0.0264  0.0036 -4.6105  0.0083
2454793.827734 31.1855  0.0018  6.5291  0.0042  0.0225  0.0036 -4.5999  0.0078
2454794.800626 31.1901  0.0017  6.5329  0.0040  0.0309  0.0034 -4.5987  0.0074
2454795.809029 31.1835  0.0022  6.5225  0.0052  0.0231  0.0044 -4.5687  0.0101
2454796.836494 31.1756  0.0017  6.5295  0.0040  0.0210  0.0034 -4.5706  0.0069
2454797.803411 31.1787  0.0017  6.5220  0.0040  0.0336  0.0034 -4.5931  0.0069
2454798.806092 31.1925  0.0025  6.5168  0.0059  0.0379  0.0050 -4.6300  0.0145
2454799.776987 31.1926  0.0019  6.5064  0.0045  0.0278  0.0038 -4.6129  0.0091
2454799.864538 31.1977  0.0025  6.4690  0.0059  0.0278  0.0050 -4.6267  0.0142
2454800.759086 31.1880  0.0021  6.4832  0.0049  0.0379  0.0042 -4.5987  0.0104
