#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-10-25T18:42:21 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-10-25T18:42:21	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/A+A/678/A90/hd99492
#-nav=cat:J/A+A/678/A90&tab:{J/A+A/678/A90/hd99492}&key:source=J/A+A/678/A90/hd99492&HTTPPRM:&&-ref=VIZ653955ee17dd09&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=BJD&-out=RV&-out=e_RV&-out=SMW&-out=e_SMW&-out=FWHM&-out=e_FWHM&-out=Cont&-out=e_Cont&-out=Ha&-out=e_Ha&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/678/A90/hd99492
#-source=J/A+A/678/A90/hd99492
#-out=BJD
#-out=RV
#-out=e_RV
#-out=SMW
#-out=e_SMW
#-out=FWHM
#-out=e_FWHM
#-out=Cont
#-out=e_Cont
#-out=Ha
#-out=e_Ha
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_36780090
#Name: J/A+A/678/A90
#Title: HD99492, HD147379 and HD190007 HARPS-N data (Stalport+, 2023)
#INFO	ivoid=ivo://cds.vizier/j/a+a/678/a90	
#INFO	publisher=CDS	
#INFO	creator=Stalport M.	
#INFO	related_resource=bibcode:2023A&A...678A..90S	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/678/A90	
#INFO	publication_date=2023-10-10	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_678_A90_hd99492:
#Name: J/A+A/678/A90/hd99492
#Title: HD 99492 radial velocity measurements
#Column	BJD	(F11.5)	Barycentric Julian Date of observation (BJD-2400000)	[ucd=time.epoch]
#Column	RV	(F6.2)	Radial velocity (YARARA-V1)	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F5.2)	Radial velocity uncertainty	[ucd=stat.error]
#Column	SMW	(F10.7)	S-index	[ucd=phot.flux;arith.ratio]
#Column	e_SMW	(F10.7)	S-index uncertainty	[ucd=stat.error]
#Column	FWHM	(F10.7)	Full width at half maximum of the cross-correlation function	[ucd=spect.line.width]
#Column	e_FWHM	(F10.7)	FWHM uncertainty	[ucd=stat.error;phys.angSize]
#Column	Cont	(F10.7)	Contrast	[ucd=phot.flux;arith.ratio]
#Column	e_Cont	(F10.7)	Contrast uncertainty	[ucd=stat.error]
#Column	Ha	(F10.7)	H-alpha	[ucd=spect.index;em.line.Halpha]
#Column	e_Ha	(F10.7)	H-alpha uncertainty	[ucd=stat.error]
BJD	RV	e_RV	SMW	e_SMW	FWHM	e_FWHM	Cont	e_Cont	Ha	e_Ha
d	m/s	m/s	 	 	 	 	 	 	 	
-----------	------	-----	----------	----------	----------	----------	----------	----------	----------	----------
56665.72940	  6.47	 0.18	 0.1107759	 0.0003354	 6.0331860	 0.0005778	 0.5985089	 0.0000562	 0.2600697	 0.0002857
56668.73828	  1.00	 0.19	 0.1077352	 0.0003072	 6.0323744	 0.0006304	 0.5985585	 0.0000613	 0.2586701	 0.0003109
56671.72642	 -5.62	 0.19	 0.1140981	 0.0003123	 6.0356020	 0.0006081	 0.5983721	 0.0000592	 0.2604162	 0.0002870
56672.72664	 -6.13	 0.20	 0.1230926	 0.0002262	 6.0374570	 0.0006656	 0.5980396	 0.0000648	 0.2597829	 0.0002089
56737.57865	  1.72	 0.28	 0.1294043	 0.0003399	 6.0374816	 0.0009107	 0.5978436	 0.0000886	 0.2605052	 0.0002974
56762.56244	  7.65	 0.27	 0.1957128	 0.0003293	 6.0583532	 0.0008709	 0.5965060	 0.0000847	 0.2606215	 0.0003252
56763.56617	  8.42	 0.34	 0.1871295	 0.0003443	 6.0569532	 0.0011149	 0.5965896	 0.0001085	 0.2615536	 0.0002757
56764.56453	 10.59	 0.26	 0.1815765	 0.0004444	 6.0552200	 0.0008576	 0.5967700	 0.0000834	 0.2601476	 0.0003520
56765.57269	  8.20	 0.41	 0.1622049	 0.0003716	 6.0468305	 0.0013380	 0.5971802	 0.0001302	 0.2605135	 0.0003018
56798.48466	 10.40	 0.23	 0.1623518	 0.0003300	 6.0520816	 0.0007563	 0.5970770	 0.0000736	 0.2587953	 0.0002669
56799.48338	 11.00	 0.14	 0.1671410	 0.0002899	 6.0532449	 0.0004461	 0.5970426	 0.0000434	 0.2586794	 0.0002550
56800.47473	 10.71	 0.25	 0.1741774	 0.0003381	 6.0547692	 0.0008031	 0.5967498	 0.0000781	 0.2595525	 0.0003353
56801.47026	  9.88	 0.28	 0.1836868	 0.0003555	 6.0573778	 0.0009017	 0.5966582	 0.0000877	 0.2593550	 0.0003002
56802.46862	  7.48	 0.41	 0.1978438	 0.0007452	 6.0627551	 0.0013457	 0.5965125	 0.0001309	 0.2600136	 0.0005290
56803.47328	  5.00	 0.47	 0.1981587	 0.0008172	 6.0609922	 0.0015438	 0.5965516	 0.0001502	 0.2589719	 0.0005411
56813.39351	  4.11	 0.29	 0.1501301	 0.0002457	 6.0441546	 0.0009424	 0.5972591	 0.0000917	 0.2589914	 0.0002578
56816.38381	  7.15	 0.24	 0.1308889	 0.0002352	 6.0376014	 0.0007825	 0.5977362	 0.0000761	 0.2597818	 0.0002696
56828.38436	  6.41	 0.24	 0.1201118	 0.0002478	 6.0388010	 0.0007689	 0.5978350	 0.0000748	 0.2580951	 0.0002400
56829.38547	  7.48	 0.29	 0.1084543	 0.0003592	 6.0364936	 0.0009382	 0.5981041	 0.0000913	 0.2580012	 0.0003063
56830.39435	  8.22	 0.16	 0.1185310	 0.0003307	 6.0384396	 0.0005138	 0.5978256	 0.0000500	 0.2578533	 0.0002362
56831.39759	  8.29	 0.21	 0.1175613	 0.0002907	 6.0365657	 0.0006987	 0.5978919	 0.0000680	 0.2581940	 0.0002472
56833.39532	  7.36	 0.32	 0.1123551	 0.0005808	 6.0331474	 0.0010261	 0.5985227	 0.0000998	 0.2586270	 0.0004155
56834.39621	  7.74	 0.24	 0.1218711	 0.0003908	 6.0333267	 0.0007717	 0.5981565	 0.0000751	 0.2589027	 0.0003129
57012.73426	 -6.93	 0.17	 0.0890882	 0.0002569	 6.0244424	 0.0005465	 0.5987819	 0.0000532	 0.2592180	 0.0002396
57014.74347	 -4.44	 0.24	 0.1019837	 0.0003373	 6.0304851	 0.0007826	 0.5988413	 0.0000761	 0.2593679	 0.0002998
57015.74111	  3.13	 0.31	 0.1138163	 0.0003874	 6.0321225	 0.0009986	 0.5985031	 0.0000971	 0.2589176	 0.0004566
57016.74709	  1.71	 0.24	 0.1208551	 0.0002832	 6.0355619	 0.0007741	 0.5981318	 0.0000753	 0.2593700	 0.0002489
57018.75438	  9.98	 0.28	 0.1057669	 0.0004149	 6.0308897	 0.0009151	 0.5984960	 0.0000890	 0.2580272	 0.0003498
57019.73230	 10.25	 0.14	 0.1105078	 0.0003084	 6.0341108	 0.0004612	 0.5980661	 0.0000449	 0.2583929	 0.0002309
57020.72460	 12.57	 0.17	 0.1195586	 0.0002653	 6.0360764	 0.0005687	 0.5979318	 0.0000553	 0.2588160	 0.0002225
57021.71004	 11.17	 0.25	 0.1197233	 0.0003517	 6.0372117	 0.0008099	 0.5979885	 0.0000788	 0.2588991	 0.0002632
57044.71458	 -1.42	 0.15	 0.1147625	 0.0002798	 6.0348095	 0.0004964	 0.5981057	 0.0000483	 0.2596854	 0.0002213
57045.68015	 -3.44	 0.27	 0.1123936	 0.0003453	 6.0316460	 0.0008707	 0.5983791	 0.0000847	 0.2591082	 0.0002837
57046.72390	 -5.67	 0.25	 0.1109424	 0.0003078	 6.0337546	 0.0008047	 0.5982832	 0.0000783	 0.2597764	 0.0002462
