#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-28T03:46:37 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60d9427d38cc83	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/AJ/153/208/table1
#-nav=cat:J/AJ/153/208&tab:{J/AJ/153/208/table1}&key:source=J/AJ/153/208/table1&HTTPPRM:&&-ref=VIZ60d9427d38cc83&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=Name&Name=HD3651&-out=BJD&-out=RV&-out=e_RV&-out=S&-out=H&-out=Count&-out=Exp&-out=Nrv&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/153/208/table1
#-source=J/AJ/153/208/table1
#-out=Name
#Name=HD3651
#-out=BJD
#-out=RV
#-out=e_RV
#-out=S
#-out=H
#-out=Count
#-out=Exp
#-out=Nrv
#

#RESOURCE=yCat_51530208
#Name: J/AJ/153/208
#Title: LCES HIRES/Keck radial velocity Exoplanet Survey (Butler+, 2017)
#Table	J_AJ_153_208_table1:
#Name: J/AJ/153/208/table1
#Title: Radial velocities and chromospheric activity indices of all program stars (corrected velocities in Tal-Or et al, 2019, Cat. J/MNRAS/484/L8)
#Column	Name	(a14)	Target identifier	[ucd=meta.id;meta.main]
#Column	BJD	(F13.5)	Barycentric Julian Date	[ucd=time.epoch]
#Column	RV	(F9.2)	[-39874.3/42363.6] Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F6.2)	[0.01/252.9] 1{sigma} uncertainty in RV	[ucd=stat.error]
#Column	S	(F7.4)	[-5.5/68.9] Chromosperic activity index S-index (1)	[ucd=spect.index]
#Column	H	(F8.5)	[-1/0.11]? Chromosperic activity index H-index (2)	[ucd=spect.index]
#Column	Count	(I6)	[67/616935] Median photons per pixel	[ucd=phot.count;arith.ratio]
#Column	Exp	(I4)	[-1/2551] Exposure time	[ucd=time.duration;obs.exposure]
#Column	Nrv	(I3)	Number of radial velocity measurements (table1) [NULL integer written as an empty string]	[ucd=meta.number]
Name	BJD	RV	e_RV	S	H	Count	Exp	Nrv
 	d	m/s	m/s	 	 	 	s	
--------------	-------------	---------	------	-------	--------	------	----	---
HD3651        	2450366.92463	    -3.61	  1.23	 0.1705	-1.00000	255941	 100	161
HD3651        	2450667.03345	     6.43	  1.23	 0.1809	-1.00000	175312	  90	161
HD3651        	2450716.05111	     4.05	  1.32	 0.1633	-1.00000	125033	  60	161
HD3651        	2451044.06074	    -2.19	  1.40	 0.1739	-1.00000	112840	  35	161
HD3651        	2451071.02881	    -3.31	  1.48	 0.1706	-1.00000	134556	  40	161
HD3651        	2451173.82233	    -3.68	  1.46	 0.1708	-1.00000	189367	  70	161
HD3651        	2451173.82425	    -6.17	  1.45	 0.1692	-1.00000	177089	  70	161
HD3651        	2451368.04964	    -7.77	  1.35	 0.1711	-1.00000	 74152	  25	161
HD3651        	2451438.84577	   -18.74	  1.48	 0.1684	-1.00000	 65015	  25	161
HD3651        	2451551.68836	    -9.28	  1.42	 0.1594	-1.00000	101054	  42	161
HD3651        	2451756.00593	    -0.49	  1.19	 0.1718	-1.00000	112544	  66	161
HD3651        	2452096.11120	    -1.49	  1.44	 0.1394	-1.00000	 81203	  31	161
HD3651        	2452102.01986	    -4.99	  1.56	 0.1400	-1.00000	 81860	  25	161
HD3651        	2452128.08155	   -16.93	  1.62	 0.1477	-1.00000	 88822	  30	161
HD3651        	2452133.91971	     2.08	  1.55	 0.1582	-1.00000	 98324	  33	161
HD3651        	2452188.94675	   -22.20	  1.52	 0.1554	-1.00000	 86173	  28	161
HD3651        	2452235.69831	    -9.81	  1.47	 0.1611	-1.00000	100997	  27	161
HD3651        	2452236.75947	    -9.03	  1.46	 0.1556	-1.00000	113094	  32	161
HD3651        	2452237.72925	   -10.43	  1.29	 0.1468	-1.00000	109242	  44	161
HD3651        	2452515.02045	     1.08	  1.44	 0.1536	-1.00000	103976	  26	161
HD3651        	2452535.81936	     0.80	  1.51	 0.1599	-1.00000	 93567	  22	161
HD3651        	2452538.87446	    -4.64	  1.60	 0.1490	-1.00000	 94712	  24	161
HD3651        	2452572.76047	     7.36	  1.48	 0.1563	-1.00000	100909	  32	161
HD3651        	2452574.83543	     6.63	  1.65	 0.1335	-1.00000	102418	  38	161
HD3651        	2452600.71623	    -5.48	  1.49	 0.1637	-1.00000	107786	  32	161
HD3651        	2452600.71759	    -6.75	  1.46	 0.1616	-1.00000	108033	  28	161
HD3651        	2452601.71113	    -9.51	  1.37	 0.1569	-1.00000	109165	  26	161
HD3651        	2452601.71244	   -11.88	  1.56	 0.1623	-1.00000	108472	  26	161
HD3651        	2452602.77545	    -2.44	  1.49	 0.1633	-1.00000	116582	  39	161
HD3651        	2452602.77701	    -8.44	  1.49	 0.1583	-1.00000	117001	  45	161
HD3651        	2452651.73433	     0.09	  1.56	 0.1663	-1.00000	112115	  40	161
HD3651        	2452807.10978	   -20.03	  1.59	 0.1524	-1.00000	114353	  28	161
HD3651        	2452834.04393	     4.06	  1.69	 0.1507	-1.00000	107557	  25	161
HD3651        	2452849.03474	    -4.59	  1.42	 0.1485	-1.00000	112763	  40	161
HD3651        	2452856.06551	    -2.38	  1.59	 0.1365	-1.00000	108930	  30	161
HD3651        	2452897.90899	    -1.50	  1.44	 0.1513	-1.00000	112061	  31	161
HD3651        	2452924.87660	   -16.16	  1.53	 0.1492	-1.00000	110561	  33	161
HD3651        	2452988.81280	   -18.23	  1.45	 0.1466	-1.00000	115288	  42	161
HD3651        	2453238.95794	   -14.20	  1.28	 0.1677	 0.03408	 69988	  24	161
HD3651        	2453301.97203	    -9.68	  1.42	 0.1680	 0.03414	 78817	 500	161
HD3651        	2453338.81549	     2.78	  1.27	 0.1585	 0.03422	113015	  37	161
HD3651        	2453338.81646	     4.92	  1.19	 0.1594	 0.03428	111260	  36	161
HD3651        	2453338.81751	     4.01	  1.33	 0.1590	 0.03425	111843	  35	161
HD3651        	2453369.74199	   -26.18	  1.24	 0.1657	 0.03408	106689	  36	161
HD3651        	2453369.74293	   -27.17	  1.23	 0.1665	 0.03409	108203	  39	161
HD3651        	2453369.74389	   -26.04	  1.36	 0.1657	 0.03409	106529	  38	161
HD3651        	2453426.72164	   -14.86	  1.14	 0.1667	 0.03386	102887	  47	161
HD3651        	2453426.72284	   -17.76	  1.20	 0.1716	 0.03386	105821	  46	161
HD3651        	2453426.72391	   -14.80	  1.16	 0.1756	 0.03383	104624	  44	161
HD3651        	2453692.70074	    10.89	  1.33	 0.1618	 0.03407	104825	 462	161
HD3651        	2453692.71193	    11.03	  1.47	 0.1524	 0.03401	 40064	 499	161
HD3651        	2453692.71840	    10.14	  1.27	 0.1603	 0.03415	107706	 151	161
HD3651        	2453693.71238	     7.48	  1.13	 0.1729	 0.03411	107242	  36	161
HD3651        	2453693.71337	    13.12	  1.08	 0.1691	 0.03411	110739	  28	161
HD3651        	2453693.71429	     7.10	  1.18	 0.1734	 0.03409	110435	  34	161
HD3651        	2453693.93646	     7.64	  1.16	 0.1649	 0.03410	107596	  34	161
HD3651        	2453693.93746	     4.62	  1.12	 0.1671	 0.03410	111493	  35	161
HD3651        	2453693.93837	     4.78	  1.11	 0.1672	 0.03405	110764	  34	161
HD3651        	2453694.70978	     7.78	  1.11	 0.1627	 0.03420	112635	  30	161
HD3651        	2453694.71064	     7.54	  1.17	 0.1616	 0.03419	110190	  32	161
HD3651        	2453694.71151	     8.02	  1.11	 0.1628	 0.03418	112792	  31	161
HD3651        	2453694.85560	     6.01	  1.27	 0.1659	 0.03411	111510	  29	161
HD3651        	2453694.85643	     8.36	  1.16	 0.1670	 0.03418	112808	  27	161
HD3651        	2453694.85723	     7.17	  1.17	 0.1639	 0.03422	110715	  26	161
HD3651        	2453695.87051	     7.38	  1.07	 0.1643	 0.03425	112101	  30	161
HD3651        	2453695.87135	     9.16	  1.25	 0.1635	 0.03419	110522	  29	161
HD3651        	2453695.87235	     4.10	  1.28	 0.1658	 0.03421	111886	  31	161
HD3651        	2453696.72844	     6.30	  1.25	 0.1710	 0.03411	112791	  30	161
HD3651        	2453696.72927	     6.25	  1.16	 0.1711	 0.03409	108693	  27	161
HD3651        	2453696.73022	     5.15	  1.19	 0.1676	 0.03414	111950	  29	161
HD3651        	2453724.83986	    -9.08	  1.28	 0.1717	 0.03396	108556	  37	161
HD3651        	2453724.84080	    -2.64	  1.30	 0.1692	 0.03403	109500	  38	161
