#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-03-03T14:02:55 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ603f966d8445 
#INFO -out.max=1000 
#INFO queryParameters=12 
#-oc.form=sexa
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/other/Nat/563.365&tab:{J/other/Nat/563.365/gl699ha}&key:source=J/other/Nat/563.365/gl699ha&HTTPPRM:&&-ref=VIZ603f966d8445&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-source=J/other/Nat/563.365/gl699ha
#-order=I
#-out=Inst
#-out=BJD
#-out=Halpha
#-out=e_Halpha
#

#RESOURCE=yCat_1038056301
#Name: J/other/Nat/563.365
#Title: Barnard's star radial velocity curve (Ribas+, 2018)
#Table J_other_Nat_563_365_gl699ha:
#Name: J/other/Nat/563.365/gl699ha
#Title: Time-series measurements of the H{alpha} index
#---Details of Columns:
    Inst     (a9)    Instrument (1) [ucd=meta.id;instr]
    BJD (d)  (F13.5) Barycentric Julian Date of the mid-time of the observation [ucd=time.epoch]
    Halpha   (F8.5)  H{alpha} index [ucd=spect.index;em.line.Halpha]
    e_Halpha (F8.5)  1-sigma uncertainty in the H{alpha} index [ucd=stat.error]
--------- ------------- -------- --------
Inst      BJD (d)       Halpha   e_Halpha
--------- ------------- -------- --------
APF       2456504.74478  0.47453  0.00210
APF       2456505.78826  0.48294  0.00180
APF       2456515.73710  0.47926  0.00188
APF       2456516.76429  0.50111  0.00223
APF       2456517.70281  0.48253  0.00208
APF       2456518.70861  0.48231  0.00173
APF       2456534.71421  0.48350  0.00165
APF       2456535.69127  0.47625  0.00191
APF       2456536.72949  0.47750  0.00198
APF       2456539.66626  0.46738  0.00194
APF       2456540.68557  0.48781  0.00196
APF       2456541.81802  0.49137  0.00268
APF       2456542.68152  0.48039  0.00192
APF       2456548.69265  0.47255  0.00195
APF       2456562.72661  0.47791  0.00218
APF       2456563.62772  0.48520  0.00178
APF       2456570.62287  0.47646  0.00180
APF       2456573.67039  0.46828  0.00177
APF       2456574.69896  0.48026  0.00171
APF       2456577.63772  0.48029  0.00198
APF       2456581.63267  0.47742  0.00211
APF       2456583.61832  0.49813  0.00176
APF       2456590.62601  0.48090  0.00194
APF       2456591.60874  0.48496  0.00193
APF       2456934.66825  0.49806  0.00211
APF       2456936.66232  0.49529  0.00195
APF       2456940.63357  0.48763  0.00222
APF       2456950.62062  0.49238  0.00284
APF       2457056.08446  0.50777  0.00208
APF       2457114.92087  0.48766  0.00195
APF       2457122.94421  0.47539  0.00222
APF       2457134.99881  0.49230  0.00363
APF       2457141.85884  0.48747  0.00180
APF       2457144.84854  0.49015  0.00261
APF       2457159.82981  0.48027  0.00188
APF       2457180.88093  0.48881  0.00179
APF       2457194.94062  0.48827  0.00152
APF       2457214.77317  0.47468  0.00273
APF       2457223.79227  0.47687  0.00200
APF       2457228.90197  0.47485  0.00184
APF       2457237.91079  0.48219  0.00193
APF       2457263.67817  0.48823  0.00189
APF       2457294.75313  0.49947  0.00216
APF       2457478.00740  0.47968  0.00187
CARMENES  2457422.74583  0.47713  0.00191
CARMENES  2457427.74276  0.47753  0.00178
CARMENES  2457440.70724  0.47702  0.00145
CARMENES  2457472.73042  0.47613  0.00143
CARMENES  2457490.67893  0.48629  0.00194
CARMENES  2457494.69905  0.48118  0.00170
CARMENES  2457503.68467  0.47784  0.00184
CARMENES  2457509.59042  0.47422  0.00214
CARMENES  2457510.69046  0.46903  0.00202
CARMENES  2457532.57699  0.46876  0.00218
CARMENES  2457536.53529  0.46687  0.00188
CARMENES  2457537.66689  0.46790  0.00185
CARMENES  2457539.56390  0.46906  0.00208
CARMENES  2457544.66543  0.47414  0.00205
CARMENES  2457555.50728  0.47556  0.00209
CARMENES  2457572.50083  0.49495  0.00227
CARMENES  2457591.42381  0.47676  0.00173
CARMENES  2457596.39830  0.46780  0.00254
CARMENES  2457618.48113  0.47802  0.00171
CARMENES  2457622.39060  0.48435  0.00210
CARMENES  2457623.40066  0.48170  0.00203
CARMENES  2457625.35693  0.48127  0.00177
CARMENES  2457626.36964  0.49994  0.00218
CARMENES  2457627.36360  0.48042  0.00134
CARMENES  2457628.34688  0.47018  0.00205
CARMENES  2457629.36767  0.47866  0.00203
CARMENES  2457630.35643  0.47548  0.00143
CARMENES  2457631.36804  0.47903  0.00219
CARMENES  2457632.32512  0.48192  0.00216
CARMENES  2457633.33156  0.47747  0.00212
CARMENES  2457634.42148  0.47533  0.00220
CARMENES  2457635.37864  0.47534  0.00186
CARMENES  2457636.42886  0.47853  0.00234
CARMENES  2457643.30388  0.47885  0.00204
CARMENES  2457644.29438  0.47611  0.00211
CARMENES  2457646.31016  0.46009  0.00135
CARMENES  2457647.31032  0.46118  0.00211
CARMENES  2457650.33205  0.46473  0.00145
CARMENES  2457652.35731  0.46399  0.00199
CARMENES  2457655.37979  0.46953  0.00501
CARMENES  2457656.32277  0.46738  0.00250
CARMENES  2457657.33848  0.46053  0.00435
CARMENES  2457658.33931  0.47098  0.00303
CARMENES  2457659.28930  0.46897  0.00199
CARMENES  2457665.27336  0.46545  0.00170
CARMENES  2457678.29314  0.46322  0.00186
CARMENES  2457679.26984  0.47308  0.00179
CARMENES  2457684.30781  0.47377  0.00159
CARMENES  2457685.30894  0.46873  0.00203
CARMENES  2457689.25306  0.48078  0.00122
CARMENES  2457690.30058  0.46872  0.00140
CARMENES  2457691.25977  0.47146  0.00201
CARMENES  2457692.26846  0.47539  0.00187
CARMENES  2457693.29753  0.46950  0.00169
CARMENES  2457694.28852  0.46421  0.00221
CARMENES  2457698.28881  0.46604  0.00264
CARMENES  2457704.25417  0.47760  0.00128
CARMENES  2457705.25250  0.48125  0.00151
CARMENES  2457706.25031  0.47502  0.00197
CARMENES  2457711.23879  0.47315  0.00162
CARMENES  2457712.25348  0.46738  0.00186
CARMENES  2457779.76496  0.49883  0.00153
CARMENES  2457788.74094  0.47277  0.00152
CARMENES  2457793.73532  0.47181  0.00134
CARMENES  2457794.73738  0.49952  0.00342
CARMENES  2457798.71735  0.49601  0.00180
CARMENES  2457799.70195  0.47279  0.00169
CARMENES  2457800.70455  0.48866  0.00143
CARMENES  2457801.74842  0.46780  0.00197
CARMENES  2457806.68911  0.48584  0.00233
CARMENES  2457814.73879  0.47610  0.00182
CARMENES  2457815.71842  0.47472  0.00181
CARMENES  2457817.65838  0.48326  0.00287
CARMENES  2457818.66736  0.47787  0.00197
CARMENES  2457819.65009  0.48513  0.00153
CARMENES  2457822.73934  0.48907  0.00152
CARMENES  2457824.68069  0.48524  0.00117
CARMENES  2457828.63805  0.47570  0.00202
CARMENES  2457829.65410  0.48418  0.00311
CARMENES  2457830.69347  0.47781  0.00163
CARMENES  2457833.73334  0.47294  0.00148
CARMENES  2457834.67883  0.47703  0.00189
CARMENES  2457851.66443  0.48077  0.00153
CARMENES  2457852.69190  0.49125  0.00120
CARMENES  2457854.69313  0.48570  0.00181
CARMENES  2457855.62522  0.49038  0.00198
CARMENES  2457857.66742  0.48437  0.00172
CARMENES  2457858.63554  0.49397  0.00219
CARMENES  2457859.63345  0.49644  0.00244
CARMENES  2457861.70316  0.49760  0.00182
CARMENES  2457862.69632  0.48029  0.00221
CARMENES  2457863.60550  0.49477  0.00209
CARMENES  2457864.68102  0.47602  0.00239
CARMENES  2457866.60358  0.47674  0.00204
CARMENES  2457875.62334  0.48097  0.00193
CARMENES  2457876.55014  0.47250  0.00201
CARMENES  2457877.55772  0.47126  0.00171
CARMENES  2457878.63816  0.46367  0.00246
CARMENES  2457879.57104  0.47492  0.00202
CARMENES  2457880.66248  0.47169  0.00161
CARMENES  2457882.55744  0.46651  0.00189
CARMENES  2457883.60933  0.47106  0.00246
CARMENES  2457886.52586  0.46701  0.00227
CARMENES  2457887.55641  0.46797  0.00283
CARMENES  2457888.65782  0.46723  0.00238
CARMENES  2457889.59841  0.47596  0.00228
CARMENES  2457890.66322  0.46539  0.00270
CARMENES  2457891.66059  0.47166  0.00183
CARMENES  2457892.61354  0.47048  0.00179
CARMENES  2457893.59279  0.46642  0.00209
CARMENES  2457894.53536  0.46752  0.00187
CARMENES  2457896.59832  0.47321  0.00178
CARMENES  2457898.58642  0.46323  0.00163
CARMENES  2457901.59418  0.47012  0.00246
CARMENES  2457905.50916  0.46936  0.00181
CARMENES  2457907.55252  0.47324  0.00192
CARMENES  2457909.63025  0.46118  0.00139
