#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-03-03T14:02:04 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ603f966d8445 
#INFO -out.max=1000 
#INFO queryParameters=12 
#-oc.form=sexa
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/other/Nat/563.365&tab:{J/other/Nat/563.365/gl699rv}&key:source=J/other/Nat/563.365/gl699rv&HTTPPRM:&&-ref=VIZ603f966d8445&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-source=J/other/Nat/563.365/gl699rv
#-order=I
#-out=Inst
#-out=BJD
#-out=RV
#-out=e_RV
#

#RESOURCE=yCat_1038056301
#Name: J/other/Nat/563.365
#Title: Barnard's star radial velocity curve (Ribas+, 2018)
#Table J_other_Nat_563_365_gl699rv:
#Name: J/other/Nat/563.365/gl699rv
#Title: Time-series measurements of radial velocity
#---Details of Columns:
    Inst       (a9)    Instrument (1) [ucd=meta.id;instr]
    BJD (d)    (F13.5) Barycentric Julian Date of the mid-time of the observation [ucd=time.epoch]
    RV (m/s)   (F6.3)  Radial velocity [ucd=phys.veloc;pos.heliocentric]
    e_RV (m/s) (F6.3)  1-sigma uncertainty in the radial velocity [ucd=stat.error]
--------- ------------- ------ ------
                        RV     e_RV  
Inst      BJD (d)       (m/s)  (m/s) 
--------- ------------- ------ ------
APF       2456504.74478  0.779  1.933
APF       2456505.75973  3.029  1.879
APF       2456506.72339  6.789  1.727
APF       2456515.70705 -1.491  1.612
APF       2456516.72684  0.939  1.647
APF       2456517.70281 -1.591  1.727
APF       2456518.70861 -0.351  2.313
APF       2456534.71420  2.149  1.825
APF       2456535.69127  1.909  1.578
APF       2456536.72949  7.039  2.797
APF       2456539.66626  1.749  1.595
APF       2456540.68557  2.479  1.718
APF       2456541.66840  0.039  1.604
APF       2456548.69265  3.699  1.906
APF       2456562.72661  2.879  2.454
APF       2456563.62771 -4.651  2.136
APF       2456573.67039 -3.701  1.961
APF       2456574.69136 -2.221  1.630
APF       2456577.63772  2.599  1.544
APF       2456581.63796  5.249  1.320
APF       2456583.61821  0.119  1.304
APF       2456589.62140  0.199  1.344
APF       2456590.62567  0.389  1.328
APF       2456591.60706 -1.831  1.376
APF       2456934.66769 -0.631  2.052
APF       2456936.66247  0.169  1.682
APF       2456940.63251  1.189  2.219
APF       2456950.63293 -4.431  2.539
APF       2457114.92074  5.359  2.145
APF       2457122.94421 -4.241  1.888
APF       2457131.96928  8.329  3.737
APF       2457134.99881  9.719  3.221
APF       2457141.85884 -0.831  3.883
APF       2457144.84854 -2.821  2.247
APF       2457159.82916  2.889  2.108
APF       2457180.88168  8.389  1.442
APF       2457194.94059  5.869  1.476
APF       2457214.77317 -4.361  2.238
APF       2457223.79227  2.669  1.834
APF       2457228.90224  3.299  1.744
APF       2457237.91079  0.339  2.369
APF       2457263.68146  1.239  1.360
APF       2457478.00655  7.369  1.762
CARMENES  2457422.74583 -2.122  1.224
CARMENES  2457427.74276  0.424  1.113
CARMENES  2457440.70724  0.106  0.999
CARMENES  2457472.73042  4.741  1.085
CARMENES  2457490.67893  2.547  1.415
CARMENES  2457494.69905  0.418  1.191
CARMENES  2457503.68467 -3.520  1.147
CARMENES  2457509.59042  0.179  1.049
CARMENES  2457510.69213  2.522  1.218
CARMENES  2457532.57699  3.538  1.034
CARMENES  2457536.53529  4.696  1.709
CARMENES  2457537.66689  0.889  1.662
CARMENES  2457539.56390  2.635  1.007
CARMENES  2457544.66543  6.606  1.126
CARMENES  2457555.51262  1.105  1.561
CARMENES  2457572.50083 -0.863  1.139
CARMENES  2457591.42381 -0.321  1.176
CARMENES  2457596.39831  5.331  2.037
CARMENES  2457618.48114  2.126  2.044
CARMENES  2457622.39060  4.861  1.712
CARMENES  2457623.40066  6.317  2.217
CARMENES  2457625.35634  6.482  1.735
CARMENES  2457625.35752  4.793  1.528
CARMENES  2457626.36964  2.032  1.459
CARMENES  2457627.36360  0.228  3.576
CARMENES  2457628.34688  7.831  1.755
CARMENES  2457629.36767  4.348  1.772
CARMENES  2457630.35644  5.990  1.451
CARMENES  2457631.36804  2.354  1.600
CARMENES  2457632.32512 -2.247  1.611
CARMENES  2457633.33155  7.343  1.498
CARMENES  2457634.42148  3.539  1.484
CARMENES  2457635.37864  6.469  1.288
CARMENES  2457636.42886  5.059  1.681
CARMENES  2457643.30388  6.418  1.167
CARMENES  2457644.29437  7.488  1.070
CARMENES  2457646.31016  7.583  1.733
CARMENES  2457647.31032 13.800  3.214
CARMENES  2457650.33205  9.108  1.652
CARMENES  2457652.35731  6.492  1.770
CARMENES  2457655.37980  3.263  5.672
CARMENES  2457656.32277  6.415  1.495
CARMENES  2457657.33848 10.278  3.127
CARMENES  2457658.33931  7.304  2.040
CARMENES  2457659.28930  5.518  1.805
CARMENES  2457665.27337  2.084  1.338
CARMENES  2457678.29314  4.496  1.906
CARMENES  2457679.26984  8.660  1.569
CARMENES  2457684.30782 10.340  2.670
CARMENES  2457685.30894  7.129  2.080
CARMENES  2457689.25306  4.463  1.140
CARMENES  2457690.30058  8.350  1.300
CARMENES  2457691.25977 -0.214  1.046
CARMENES  2457692.26846  3.480  1.030
CARMENES  2457693.29754  6.027  0.938
CARMENES  2457694.28852  6.819  1.511
CARMENES  2457698.28881  8.541  3.914
CARMENES  2457704.25416  7.612  1.216
CARMENES  2457705.25250  4.350  1.425
CARMENES  2457706.25031  5.384  1.297
CARMENES  2457711.23879  1.530  1.247
CARMENES  2457712.25348  4.274  1.297
CARMENES  2457779.76495  0.940  1.199
CARMENES  2457788.74094  1.187  1.463
CARMENES  2457793.73070  5.360  2.082
CARMENES  2457793.73532  3.918  1.634
CARMENES  2457794.73572  8.478  1.871
CARMENES  2457794.73905  9.913  3.815
CARMENES  2457798.71735  0.114  1.214
CARMENES  2457799.70195  2.713  1.601
CARMENES  2457800.70456  2.436  1.375
CARMENES  2457806.68910  3.301  1.742
CARMENES  2457814.73879 -0.684  1.242
CARMENES  2457815.71841  1.290  1.573
CARMENES  2457817.65838  2.682  1.749
CARMENES  2457818.66736 -2.338  1.306
CARMENES  2457819.65009  0.536  1.479
CARMENES  2457822.73934  1.286  1.006
CARMENES  2457824.68069  2.071  1.382
CARMENES  2457828.63805  3.056  1.135
CARMENES  2457829.65410  1.674  1.451
CARMENES  2457830.69347  0.774  1.275
CARMENES  2457833.73334  2.459  0.972
CARMENES  2457834.67884  3.475  1.389
CARMENES  2457851.66443  6.066  1.455
CARMENES  2457852.69190  3.820  1.194
CARMENES  2457854.69313  3.961  1.056
CARMENES  2457855.62522  3.160  0.985
CARMENES  2457856.69821  4.316  0.934
CARMENES  2457857.66742  5.332  0.874
CARMENES  2457858.63555  6.318  1.250
CARMENES  2457859.63345  4.554  1.029
CARMENES  2457861.70316  5.610  1.021
CARMENES  2457862.69632  4.414  0.900
CARMENES  2457863.58777  4.171  2.312
CARMENES  2457863.62323  2.376  1.399
CARMENES  2457864.68101  4.870  1.056
CARMENES  2457866.60358  4.478  1.679
CARMENES  2457875.62334  6.582  0.999
CARMENES  2457876.55014  6.768  1.613
CARMENES  2457877.55772  6.228  0.920
CARMENES  2457878.63816  5.495  1.746
CARMENES  2457879.57104  5.793  1.870
CARMENES  2457880.66248  8.424  1.191
CARMENES  2457882.55744  8.514  0.991
CARMENES  2457883.60933  4.801  1.533
CARMENES  2457886.52586  5.360  2.436
CARMENES  2457887.55641  6.262  1.053
CARMENES  2457888.65782  4.788  1.238
CARMENES  2457889.59841  6.368  1.081
CARMENES  2457890.66322  7.630  1.013
CARMENES  2457891.66060  9.429  1.824
CARMENES  2457892.61353  2.753  1.203
CARMENES  2457893.59279  5.548  0.885
CARMENES  2457894.53536  3.194  1.391
CARMENES  2457896.59832  2.127  1.416
CARMENES  2457898.58642  5.247  1.303
CARMENES  2457905.50917  3.693  1.235
CARMENES  2457907.55252  3.532  1.441
CARMENES  2457909.63025  4.381  1.548
CARMENES  2457910.58502  2.572  1.716
CARMENES  2457911.66068  2.885  1.449
CARMENES  2457912.66960  4.905  1.475
CARMENES  2457914.52899  2.878  1.377
CARMENES  2457915.56292  2.818  1.178
CARMENES  2457916.52839  2.073  1.846
CARMENES  2457918.64233  3.063  1.689
CARMENES  2457919.64045  7.863  1.999
CARMENES  2457920.40067  5.914  2.124
CARMENES  2457921.54542  5.410  1.427
CARMENES  2457922.47817  4.122  1.175
CARMENES  2457924.47769  6.370  1.682
CARMENES  2457928.64736  3.789  1.126
CARMENES  2457931.58803  6.749  2.384
CARMENES  2457934.40387  0.892  4.058
CARMENES  2457934.41307  2.046  2.097
CARMENES  2457935.44095  6.123  1.352
CARMENES  2457936.49307  3.443  1.406
CARMENES  2457937.48209  4.136  1.507
CARMENES  2457939.47837  7.392  1.358
CARMENES  2457942.48064 10.535  1.530
CARMENES  2457943.46947  4.128  1.531
CARMENES  2457944.46180  4.573  1.528
CARMENES  2457945.46152  3.203  1.223
CARMENES  2457946.56893  3.135  1.210
CARMENES  2457947.43100  5.288  1.463
CARMENES  2457948.42767  4.417  1.241
CARMENES  2457949.53834  4.836  1.132
CARMENES  2457950.44782  3.758  1.293
CARMENES  2457951.44249  5.283  1.248
CARMENES  2457954.45745  2.972  1.551
CARMENES  2457955.43316  1.299  1.950
CARMENES  2457956.42950  6.170  1.487
CARMENES  2457958.44950  4.538  1.366
CARMENES  2457959.56201  4.992  1.651
CARMENES  2457960.41689  4.186  1.153
CARMENES  2457961.41980  3.536  1.030
CARMENES  2457962.42045  3.830  1.188
CARMENES  2457963.40703  2.740  1.375
CARMENES  2457964.41040  5.161  1.132
CARMENES  2457965.43537  3.608  1.322
CARMENES  2457968.40554  4.685  1.116
CARMENES  2457969.41863  3.765  1.356
CARMENES  2457970.40792  4.329  1.218
CARMENES  2457971.38739  4.664  1.226
CARMENES  2457976.39950  2.094  1.230
CARMENES  2457977.42131  4.672  1.420
CARMENES  2457979.45567  1.169  1.190
CARMENES  2457981.38588  4.557  1.289
CARMENES  2457982.45638  3.556  1.313
CARMENES  2457985.42535  5.333  1.431
CARMENES  2457986.43377  2.916  1.461
CARMENES  2457987.41038  4.559  1.276
CARMENES  2457989.33984  4.759  1.997
CARMENES  2457990.42957  2.077  1.356
CARMENES  2457999.31760  9.000  1.108
CARMENES  2458000.40965  2.677  1.165
CARMENES  2458001.44498  3.552  1.001
CARMENES  2458002.32490  4.849  0.951
CARMENES  2458005.31768  1.021  1.237
CARMENES  2458006.31435  3.044  1.331
CARMENES  2458007.31067  2.057  1.048
CARMENES  2458008.38176  1.337  1.072
CARMENES  2458009.33558  2.784  1.042
CARMENES  2458010.30820  4.247  1.093
CARMENES  2458017.33144  5.757  1.155
CARMENES  2458021.30619  5.239  1.081
CARMENES  2458022.28606  6.847  1.421
CARMENES  2458023.36574  1.900  1.404
CARMENES  2458027.34836  6.580  1.726
CARMENES  2458028.37702  3.418  1.900
CARMENES  2458030.37033  2.868  1.884
CARMENES  2458032.30739  4.474  1.758
CARMENES  2458048.26598  2.729  1.253
CARMENES  2458055.25871  5.180  1.352
CARMENES  2458056.26050  3.143  1.215
CARMENES  2458057.24052  4.515  1.044
CARMENES  2458058.25912  4.422  1.478
CARMENES  2458059.25442  4.070  1.304
CARMENES  2458060.25617  2.801  1.293
CARMENES  2458065.24278  5.909  1.263
HARPSN    2456841.51531 -0.484  1.220
HARPSN    2456842.59137 -1.084  1.547
HARPSN    2456843.54949  0.046  1.282
HARPSN    2457451.69878  2.030  0.963
HARPSN    2457452.73980  0.697  0.911
HARPSN    2457453.72041  3.034  0.943
HARPSN    2457454.72799  2.150  0.917
HARPSN    2457455.71491  1.444  0.901
HARPSN    2457626.41722  0.136  0.888
HARPSN    2457627.40667  3.577  0.904
HARPSN    2457628.40099 -0.286  0.926
HARPSN    2457629.43261  3.001  0.895
HARPSN    2457630.42285  1.058  0.912
HARPSN    2457632.42212  0.538  0.872
HARPSN    2457637.40532  4.570  0.882
