#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-03-03T14:03:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ603f972a1312 
#INFO -out.max=1000 
#INFO queryParameters=9 
#-oc.form=sexa
#-out.max=1000
#-nav=cat:J/other/Nat/563.365&tab:{J/other/Nat/563.365/gl699s}&key:source=J/other/Nat/563.365/gl699s&HTTPPRM:&
#-source=J/other/Nat/563.365/gl699s
#-order=I
#-out=Inst
#-out=BJD
#-out=Sindex
#-out=e_Sindex
#

#RESOURCE=yCat_1038056301
#Name: J/other/Nat/563.365
#Title: Barnard's star radial velocity curve (Ribas+, 2018)
#Table J_other_Nat_563_365_gl699s:
#Name: J/other/Nat/563.365/gl699s
#Title: Time-series measurement of the S index of the CaII H&K chromospheric lines
#---Details of Columns:
    Inst     (a9)    Instrument (1) [ucd=meta.id;instr]
    BJD (d)  (F13.5) Barycentric Julian Date of the mid-time of the observation [ucd=time.epoch]
    Sindex   (F8.5)  S index [ucd=spect.index]
    e_Sindex (F8.5)  1-sigma uncertainty in the S index [ucd=stat.error]
--------- ------------- -------- --------
Inst      BJD (d)       Sindex   e_Sindex
--------- ------------- -------- --------
APF       2456500.71234  4.52022  0.12303
APF       2456504.74478  4.78309  0.11810
APF       2456505.78826  4.38682  0.08415
APF       2456515.73710  3.94328  0.07414
APF       2456516.76429  4.81035  0.08967
APF       2456517.70281  5.18371  0.08518
APF       2456518.70861  4.29695  0.10956
APF       2456534.71421  4.37123  0.08103
APF       2456535.69127  4.29992  0.09125
APF       2456536.72949  4.86149  0.12904
APF       2456539.66626  4.49981  0.09135
APF       2456540.68557  4.57457  0.09359
APF       2456541.74321  5.26747  0.09752
APF       2456542.68152  4.34735  0.07710
APF       2456548.69265  4.13995  0.09163
APF       2456562.72661  5.08521  0.10961
APF       2456563.62772  5.04771  0.12605
APF       2456570.62287  4.95410  0.08358
APF       2456573.67039  4.80399  0.10458
APF       2456574.69896  4.93641  0.11560
APF       2456577.63772  4.88028  0.06974
APF       2456581.63726  4.97595  0.09630
APF       2456583.61785  5.75023  0.09711
APF       2456590.62601  4.88984  0.10123
APF       2456591.60874  4.87392  0.09934
APF       2456934.66825  4.73474  0.11687
APF       2456936.66232  4.29409  0.11633
APF       2456940.63827  4.31393  0.11457
APF       2456950.61881  4.43403  0.14752
APF       2457056.08446  4.75548  0.12581
APF       2457114.92087  4.76770  0.10674
APF       2457122.94421  4.00289  0.09647
APF       2457131.96366  5.94130  0.11903
APF       2457134.99881  4.52880  0.10820
APF       2457141.85884  4.84368  0.12046
APF       2457144.84854  4.50599  0.09588
APF       2457159.82981  4.41771  0.11011
APF       2457180.88093  4.95439  0.08564
APF       2457194.94062  5.26635  0.08751
APF       2457214.77317  4.48312  0.08337
APF       2457223.79227  4.22903  0.08381
APF       2457228.90197  4.43328  0.10845
APF       2457237.91079  4.61469  0.10250
APF       2457263.67817  4.75605  0.09610
APF       2457294.75313  4.53891  0.13432
APF       2457478.00740  4.18059  0.09801
HARPSN    2456841.51531  4.69722  0.08397
HARPSN    2456843.54949  5.48284  0.12939
HARPSN    2457451.69820  4.18059  0.10756
HARPSN    2457452.75214  3.99144  0.08577
HARPSN    2457453.72257  4.56593  0.11625
HARPSN    2457454.74337  5.41320  0.10217
HARPSN    2457455.71722  3.87553  0.11157
HARPSN    2457626.41707  4.87157  0.06570
HARPSN    2457627.41149  4.10983  0.04788
HARPSN    2457628.42709  4.70317  0.06593
HARPSN    2457629.36552  4.61632  0.06336
HARPSN    2457630.41273  4.57839  0.06995
HARPSN    2457632.41212  4.21478  0.04650
HARPSN    2457637.40501  4.91255  0.05062
HARPSN    2457638.40583  4.65313  0.05042
HARPSN    2457641.39097  4.55213  0.04432
HARPSN    2457642.39483  5.61725  0.05462
HARPSN    2457643.38726  4.17611  0.04735
HARPSN    2457645.38858  4.19743  0.06814
HARPSN    2457646.38433  4.74114  0.04895
HARPSN    2457977.46710  4.39206  0.05334
HARPSN    2457978.38943  4.29990  0.04343
HARPSN    2457979.41854  4.59227  0.03845
HARPSN    2457980.44439  4.17644  0.04221
HARPSN    2457981.44697  3.88795  0.05034
HARPSN    2457982.40379  4.47361  0.05076
HARPSN    2457983.46016  4.28424  0.04596
HARPSN    2458005.39294  4.34214  0.04806
HARPSN    2458006.39454  4.19154  0.04905
HARPSN    2458007.38745  4.30926  0.05177
HARPSN    2458008.38743  4.53134  0.04156
HARPSN    2458009.38932  5.27311  0.08453
HARPSN    2458010.37649  4.93989  0.05166
HARPSN    2458033.35064  4.17162  0.04928
HARPSN    2458034.35701  4.72751  0.04409
HARPSN    2458035.35506  4.60387  0.04261
HARPSN    2458036.38413  4.25500  0.10781
HARPSN    2458037.33595  4.12418  0.04214
HARPSN    2458038.36761  4.80146  0.09677
HARPSpost 2457934.65911  4.95878  0.11747
HARPSpost 2457935.68469  5.30448  0.18112
HARPSpost 2457936.65009  4.60502  0.10103
HARPSpost 2457937.67095  4.92996  0.11490
HARPSpost 2457942.59227  5.09894  0.07333
HARPSpost 2457943.57904  4.49454  0.09271
HARPSpost 2457944.56278  4.66525  0.09956
HARPSpost 2457945.60903  5.74053  0.10363
HARPSpost 2457946.73724  4.07657  0.11161
HARPSpost 2457948.68339  4.09233  0.21332
HARPSpost 2457949.68724  3.57983  0.15707
HARPSpost 2457951.67143  5.14124  0.28730
HARPSpost 2457952.65938  4.50465  0.17789
HARPSpost 2457953.71115  3.85664  0.11843
HARPSpost 2457954.65784  4.00226  0.13268
HARPSpost 2457955.67008  4.48091  0.18958
HARPSpost 2457956.69678  3.81636  0.11434
HARPSpost 2457958.77290  4.88421  0.28522
HARPSpost 2457959.65511  4.06092  0.14361
HARPSpost 2457960.67873  3.97061  0.12646
HARPSpost 2457961.66325  3.88848  0.16058
HARPSpost 2457962.64991  4.39905  0.30230
HARPSpost 2457964.66424  3.55266  0.22394
HARPSpost 2457965.64931  4.11918  0.15479
HARPSpost 2457966.63741  4.19408  0.11706
HARPSpost 2457967.56523  4.37525  0.17329
HARPSpost 2457968.49685  4.57771  0.17400
HARPSpost 2457969.63483  4.22183  0.16332
HARPSpost 2457970.49440  3.85983  0.11104
HARPSpost 2457972.48431  4.57396  0.10765
HARPSpost 2457973.49595  4.01231  0.19514
HARPSpost 2457974.48098  4.02583  0.09525
HARPSpost 2457979.63286  4.47949  0.12034
HARPSpost 2457980.63730  4.98756  0.12767
HARPSpost 2457981.62065  4.18880  0.11327
HARPSpost 2457984.52436  4.02667  0.13222
HARPSpost 2457985.52265  4.37318  0.11251
HARPSpost 2457986.53362  4.80251  0.11024
HARPSpost 2457987.54287  4.29958  0.10118
HARPSpost 2457990.50811  4.28367  0.10335
HARPSpost 2457991.52469  4.51560  0.17053
HARPSpost 2457992.52303  4.93083  0.07830
HARPSpost 2457993.50704  4.79663  0.10858
