#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-07-09T22:01:50 [V7.321]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-07-09T22:01:50	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#Name=HD99491
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.321	
#INFO	-out.max=814	

#RESOURCE=yCat_74849008
#Name: J/MNRAS/484/L8
#Title: Correcting HIRES/Keck RVs for systematic errors (Tal-Or+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/mnras/484/l8	
#INFO	publisher=CDS	
#INFO	creator=Tal-Or L.	
#INFO	related_resource=bibcode:2019MNRAS.484L...8T	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/484/L8	
#INFO	publication_date=2020-01-17	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_MNRAS_484_L8_table1:
#Name: J/MNRAS/484/L8/table1
#Title: Radial velocities of 1699 stars from Butler et al., 2017, J/AJ/153/208, corrected for small systematic errors
#Column	Name	(a14)	Target identifier	[ucd=meta.id;meta.main]
#Column	BJD	(F13.5)	Barycentric Julian Date	[ucd=time.epoch]
#Column	RVcor	(F10.3)	[-39874/42364] Corrected radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RVcor	(F7.3)	[0.01/374] 1{sigma} uncertainty in RVel	[ucd=stat.error]
#Column	S	(F7.4)	[-5.5/69] Chromosperic activity S-index (1)	[ucd=phot.flux;arith.ratio]
#Column	H	(F7.4)	[-1/0.11]? Chromosperic activity H-index (2)	[ucd=phot.flux;arith.ratio]
#Column	Count	(I6)	[67/616935] Median photons per pixel	[ucd=phot.count;em.X-ray]
#Column	ExpTime	(I4)	[-1/2551] Exposure time	[ucd=time.duration;obs.exposure]
#Column	CorV	(F6.3)	[-39874/42364] Radial velocity correction value	[ucd=phys.veloc;arith.diff]
#Column	e_CorV	(F6.3)	[0.01/253] 1{sigma} uncertainty in CorV	[ucd=stat.error]
Name;BJD;RVcor;e_RVcor;S;H;Count;ExpTime;CorV;e_CorV
 ;d;m/s;m/s; ; ; ;s;m/s;m/s
--------------;-------------;----------;-------;-------;-------;------;----;------;------
HD99491       ;2450419.14889;    11.834;  1.624; 0.2403;       ;287910; 475; 0.086; 1.083
HD99491       ;2450463.08188;     0.452;  1.324; 0.2190;       ;127138; 100; 0.268; 0.601
HD99491       ;2450545.91781;     3.041;  1.409; 0.2125;       ;207853; 600;-2.061; 0.543
HD99491       ;2450786.14840;     9.839;  1.309; 0.2321;       ; 74351; 255;-1.209; 0.390
HD99491       ;2450840.11731;     0.624;  1.182; 0.2184;       ;172508; 148;-0.494; 0.272
HD99491       ;2450862.89613;     0.829;  1.170; 0.2104;       ; 94523;  80;-0.709; 0.304
HD99491       ;2450954.82556;    -1.441;  1.343; 0.2037;       ;165150; 148;-0.309; 0.516
HD99491       ;2451011.78563;    -5.468;  1.160; 0.2401;       ;130144; 123;-0.742; 0.368
HD99491       ;2451012.79177;    -7.616;  1.179; 0.2415;       ;147860; 123;-0.734; 0.368
HD99491       ;2451172.09860;    -4.437;  1.308; 0.1791;       ;132911;  90;-1.403; 0.315
HD99491       ;2451228.03968;    -0.787;  1.313; 0.1888;       ; 99669; 123;-0.953; 0.400
HD99491       ;2451311.80542;     2.920;  1.467; 0.1731;       ;430665; 500;-2.420; 0.437
HD99491       ;2451311.81078;    -4.397;  1.381; 0.1714;       ;131970; 200;-2.413; 0.437
HD99491       ;2451544.17514;     0.394;  1.323; 0.1859;       ; 60825;  70;-0.934; 0.334
HD99491       ;2451582.97752;   -14.270;  1.191; 0.1733;       ; 95313;  70;-0.380; 0.311
HD99491       ;2451582.97929;   -10.002;  1.288; 0.1824;       ; 68810;  60;-0.378; 0.311
HD99491       ;2451704.80825;     0.009;  1.626; 0.2426;       ; 70304;  52; 0.081; 0.386
HD99491       ;2451883.16008;     3.152;  1.248; 0.2046;       ; 75777;  62;-0.192; 0.306
HD99491       ;2451884.15730;    -0.224;  1.306; 0.2056;       ; 75729; 106;-0.196; 0.306
HD99491       ;2451898.15166;     2.823;  1.404; 0.1976;       ; 78992;  57;-0.203; 0.306
HD99491       ;2451899.15290;    -4.218;  1.345; 0.2005;       ; 92206;  68;-0.202; 0.306
