,obs,name,jd,mnvel,errvel,sval,cts,tel
0,,10002,2450462.767072,-2.7263160289416533,0.97737086,,94095.0,k
1,,10002,2450715.062315,-7.562192493785403,1.0805758,,128078.0,k
2,,10002,2450805.760579,-6.910398060191653,1.0736045,,105461.0,k
3,,10002,2450806.805428,-2.655049854625247,1.1732513,,106530.0,k
4,,10002,2450837.726528,-6.846250110972903,1.0692292,,168101.0,k
5,,10002,2450839.731736,-7.566114002574466,1.0166992,,148769.0,k
6,,10002,2451043.057963,-7.380719715465091,1.0673611,,119926.0,k
7,,10002,2451070.084873,-8.375936085093997,1.1739525,,132289.0,k
8,,10002,2451170.779387,-2.046620899547122,1.0350136,,90184.0,k
9,,10002,2451369.124931,-6.043424183238528,1.116782,,94101.0,k
10,,10002,2451581.734792,-4.572324329722903,1.470826,,33081.0,k
11,,10002,2451883.794838,-4.281720692027591,1.2586832,,80213.0,k
12,,10002,2452095.127847,-7.1748405040393095,1.2833978,,91253.0,k
13,,10002,2452236.772882,-1.1451545299182158,1.189144,,107415.0,k
14,,10002,2452488.104479,-0.11965709339477826,1.3442519,,90800.0,k
15,,10002,2452572.930799,-1.194173389781497,1.4806376,,89700.0,k
16,,10002,2452832.127419,-5.6345573009143095,1.3340845,,100741.0,k
17,,10002,2452926.051782,-2.621877247203372,1.3236407,,102193.0,k
18,bj01.240,10002,2453238.085556,-2.2628298756232113,1.0805076,0.162,115317.0,j
19,bj11.640,10002,2453604.085243,3.73689031707012,1.0504526,0.163,101888.0,j
20,bj24.332,10002,2454024.031979,-3.100357705462958,1.1161747,0.162,72566.0,j
21,bj48.831,10002,2454429.791065,0.7239200734040807,0.9950487,0.162,72159.0,j
22,bj48.1225,10002,2454430.786285,4.397203483832097,1.0099375,0.163,72521.0,j
23,bj131.359,10002,2455808.108504,0.4856771061438394,1.2403259,0.158,48486.0,j
24,bj877.214,10002,2455825.086668,1.117747686271457,1.0695226,0.1587,75328.0,j
25,bj878.188,10002,2455825.99196,1.5829886857664803,1.0647242,0.1596,76810.0,j
26,bj878.189,10002,2455825.996393,0.6301096639045198,0.99324024,0.1591,76279.0,j
27,bj879.207,10002,2455840.002808,-1.6699164600999907,1.0797076,0.1594,76831.0,j
28,bj879.208,10002,2455840.006708,-1.3402302832909285,1.0985694,0.1592,76875.0,j
29,bj880.161,10002,2455840.88741,0.05820083071298754,1.1279658,0.1598,75579.0,j
30,bj880.162,10002,2455840.890674,2.377106742591215,1.0130639,0.1593,75337.0,j
31,bj881.127,10002,2455874.918509,-0.3859650579366196,1.0234149,0.1593,76897.0,j
32,bj881.128,10002,2455874.922409,3.2670792363806886,1.0680994,0.1591,77473.0,j
33,bj884.121,10002,2455910.770131,-3.895636444215569,0.926007,0.1605,75462.0,j
34,bj884.122,10002,2455910.773232,-3.957078096918437,0.8885034,0.1594,75953.0,j
35,bj885.122,10002,2455911.762738,-2.7602282337636055,0.9345169,0.0,75786.0,j
36,bj885.123,10002,2455911.76562,-3.6850528552565436,0.8701115,0.0,75736.0,j
37,bj886.129,10002,2455912.798039,-5.4540337627045155,0.83061904,0.0,76870.0,j
38,bj886.130,10002,2455912.801789,-0.9645349685006401,0.7906424,0.0,76929.0,j
39,bj887.115,10002,2455970.721093,-0.8613650987001176,0.99511456,0.1593,77109.0,j
40,bj887.116,10002,2455970.724357,-0.7341683596164401,0.99045116,0.1596,77349.0,j
41,bj888.120,10002,2455971.727736,-3.5404768409888723,0.996985,0.1602,77024.0,j
42,bj888.121,10002,2455971.731683,0.3360056380603602,1.0626198,0.1591,77843.0,j
43,bj893.184,10002,2456118.126694,1.524180916547948,1.0585928,0.1588,78087.0,j
44,bj893.185,10002,2456118.130966,-2.07870434905999,1.0813255,0.1585,77465.0,j
45,bj895.23,10002,2456142.09421,-3.4779661864393745,1.0615344,0.1602,76480.0,j
46,bj895.24,10002,2456142.097127,-4.874632500183438,1.0088512,0.1605,76043.0,j
47,bj897.169,10002,2456170.116906,1.6641828413724937,1.0547372,0.1593,77570.0,j
48,bj898.127,10002,2456290.770327,3.9629573770044537,0.9394368,0.1599,75890.0,j
49,bj899.115,10002,2456291.72886,0.9713210420058829,1.0222225,0.1597,76489.0,j
50,bj900.142,10002,2456292.778532,1.746781026860205,0.9627401,0.16,77549.0,j
51,bj901.111,10002,2456328.710781,-0.07928205591943538,0.93182766,0.1596,78053.0,j
52,bj903.113,10002,2456330.719401,0.6964273632095441,0.9839319,0.161,77968.0,j
53,bj909.161,10002,2456551.934031,-1.3647911437969213,1.0496395,0.1596,76556.0,j
54,bj184.127,10002,2456613.883944,-6.7793306346283835,1.0297126,0.16,47563.0,j
55,bj185.300,10002,2456637.791013,-4.8562775424342135,0.98701966,0.1586,48341.0,j
56,bj911.117,10002,2456675.72942,-1.5318358096101576,1.0477713,0.1596,79004.0,j
57,bj278.65,10002,2458111.697833,6.5845468037946056,1.3286026,0.1634,23542.0,j
58,bj278.74,10002,2458111.746486,-2.356656879632588,1.2597228,0.1658,24111.0,j
59,bj297.328,10002,2458338.118973,-2.596442624681629,1.111311,0.1637,49891.0,j
60,bj14.100,10008,2453723.830648,2.71479567923501,1.1908133,0.452,101838.0,j
61,bj14.101,10008,2453723.834028,3.145965911979431,1.2771358,0.452,100547.0,j
62,bj28.125,10008,2454129.74603,14.648408178189925,1.5867122,0.436,25154.0,j
63,bj45.194,10008,2454343.977894,-5.246046587326589,1.4322817,0.406,71664.0,j
64,bj808.174,10008,2454819.906483,2.1990778326039617,1.315735,0.4169,73299.0,j
65,bj97.163,10008,2455426.087705,-15.542167630377126,1.4365052,0.431,47494.0,j
66,bj97.711,10008,2455429.019051,11.835475178195395,1.527675,0.428,47948.0,j
67,bj157.889,10008,2456168.106191,1.0888689039981543,1.7218117,0.43700000000000006,23991.0,j
68,bj190.110,10008,2456861.125228,9.803070861549383,1.6117668,0.4313,23770.0,j
69,bj190.1011,10008,2456866.124264,0.337565382919923,1.629116,0.4237,23504.0,j
70,bj190.1211,10008,2456867.13027,-1.0049251508775985,1.6439675,0.4287,22659.0,j
71,bj191.297,10008,2456874.128242,-0.7226641577514785,1.5831662,0.4238,24572.0,j
72,bj192.326,10008,2456881.144589,-8.993716772637985,1.5523335,0.4211,23265.0,j
73,bj193.118,10008,2456889.117812,3.7494815421274588,1.5859993,0.4207,23618.0,j
74,bj194.340,10008,2456908.130058,-7.422951107481147,1.7069815,0.4275,23511.0,j
75,bj194.541,10008,2456909.079379,-2.4333362384223847,1.6461776,0.4257,23100.0,j
